,Name,new_lang,ISBN,Geocode,Adress,description
182,ROOD EN ZWART (AMSTEL KLASSIEKEN),nl,9789020422504,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
183,Mijn verlangen,nl,9789401607926,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
184,Geheim dossier Odessa (Dutch Edition),nl,9789046114810,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
185,High Fidelity,en,9781573225519,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,"<b><b>Soon to be a Hulu TV series starring Zoë Kravitz</b>From the bestselling author of<i> Funny Girl, About a Boy,</i> and <i>A Long Way Down</i>, a wise and hilarious novel about love, heartbreak, and rock and roll.</b>Rob is a pop music junkie who runs his own semi-failing record store. His girlfriend, Laura, has just left him for the guy upstairs, and Rob is both miserable and relieved. After all, could he have spent his life with someone who has a bad record collection? Rob seeks refuge in the company of the offbeat clerks at his store, who endlessly review their top five films; top five Elvis Costello songs; top five episodes of <i>Cheers</i>. Rob tries dating a singer, but maybe its just that hes always wanted to sleep with someone who has a record contract. Then he sees Laura again. And Rob begins to think that life with kids, marriage, barbecues, and soft rock CDs might not be so bad."
186,De klonen van Joanna May (Ooievaar pockets),nl,9789035113015,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
187,RUIMTE VOOR VROUWEN (PANDORA),nl,9789025455477,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
188,Als een muildier dat roomijs naar de zon draagt (Dutch Edition),nl,9789044541427,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
189,EVENBEELD,nl,9789041404688,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
190,De stenen maagden,nl,9789044505313,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
191,Amagansett,en,9780425205808,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,"In the small town of Amagansett, perched on Long Island's windswept coast, generations have followed the same calling as their forefathers, fishing the dangerous Atlantic waters. Little has changed in the three centuries since white settlers drove the Montaukett Indians from the land. But for Conrad Labarde, a second-generation Basque immigrant recently returned from the Second World War, and his fellow fisherman Rollo Kemp, this stability is shattered when a beautiful New York socialite turns up dead in their nets.<p>On the face of it, her death was accidental, but deputy police chief Tom Hollis - an incomer from New York - is convinced the truth lies in the intricate histories and family secrets of Amagansett's inhabitants. Meanwhile the enigmatic Labarde is pursuing his own investigation."
192,GEVAARLIJKE DAME,nl,9789024512584,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
193,De Brand van Istanbul,nl,9789023419594,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
194,KEISNIJDER VAN FICHTENWALD,nl,9789021496054,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,No description is available
195,Een Brok In De Keel,nl,9789025421571,"52.104271259059466, 5.119572579860687",Thomas van Nijkerckenstraat 1 Utrecht Nederland,/ 9025497896 / Dutch literature / Nederlands / Dutch / Néerlandais / Niederländisch / Pocket / Poche / Taschenbuch / 12 x 19 cm / 176 .
196,'n Mens van onze soort (Dutch Edition),nl,9789026121210,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
197,Sterf twee keer (Rizzoli & Isles),nl,9789044352344,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
198,Geluk in de liefde: over de samenbindende kracht van relaties: Over samenbindende kracht van relaties,nl,9789026323959,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
199,The Path to Tranquility: Daily Wisdom (Compass),en,9780140196122,"52.1013639, 5.111970599999999",veenhof 25 utrecht,"The Dalai Lama serves as a living symbol of holiness and selfless triumph over tribulation for people of all religious traditions-as well as those with no religious affiliation at all. This collection of daily quotations drawn from His Holiness's own writings, teachings, and interviews offers words of guidance, compassion, and peace that are as down to earth as they are rich in spirit. Suffused with endearing informality, warmth, and practicality, they cover almost every aspect of human life, secular and religious--from loneliness, suffering, anger, and everyday insecurities to happiness, intimacy, and responsibility to others. With a special foreword by His Holiness on the power of meditation and personal responsibility, <i>The Path to Tranquility</i> is a fresh and accessible spiritual treasure to return to day after day, year after year."
200,Dingen die op liefde lijken,nl,9789038831268,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
201,De magie van de klik,nl,9789490574222,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
202,Vrouw onder vuur: ooggetuige van de opstand in Syrie,nl,9789038896779,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
203,The Racketeer,en,9780385535144,"52.1013639, 5.111970599999999",veenhof 25 utrecht,"<i><b>Given the importance of what they do, and the controversies that often surround them, and the violent people they sometimes confront, it is remarkable that in the history of this country only four active federal judges have been murdered.Judge Raymond Fawcett has just become number five.</b><br/></i>Who is the Racketeer? And what does he have to do with the judges untimely demise? His name, for the moment, is Malcolm Bannister. Job status? Former attorney. Current residence? The Federal Prison Camp near Frostburg, Maryland.On paper, Malcolms situation isnt looking too good these days, but hes got an ace up his sleeve. He knows who killed Judge Fawcett, and he knows why. The judges body was found in his remote lakeside cabin. There was no forced entry, no struggle, just two dead bodies: Judge Fawcett and his young secretary. And one large, state-of-the-art, extremely secure safe, opened and emptied.What was in the safe? The FBI would love to know. And Malcolm Bannister would love to tell them. But everything has a priceespecially information as explosive as the sequence of events that led to Judge Fawcetts death. And the Racketeer wasnt born yesterday . . .Nothing is as it seems and everythings fair game in this wickedly clever new novel from John Grisham, the undisputed master of the legal thriller."
204,Goed genoeg: waarom de ware niet volmaakt hoeft te zijn: waarom de ware nier volmaakt hoeft te zijn (Zilver pockets),nl,9789041763525,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
205,Hond Vrijdag,nl,9789021474076,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
206,Chaosschepper (Poema pocket Fantasy),nl,9789024535200,"52.1013639, 5.111970599999999",veenhof 25 utrecht,"Fantasy - De nieuwe avonturen van Haplo op Arianus, Het Rijk van de Hemel. In Chaosschepper keert Haplo terug naar Arianus, het Rijk van de Hemel. De strijd tussen elfen, dwergen en mensen om de heerschappij over het water dreigt nu uit te monden in een grote oorlog. En bovendien heeft Haplo alle reden te twijfelen of hij zijn meester die hem uit het Labyrint heeft gered, wel moet gehoorzamen..."
207,Vuurzee (Poema pocket Fantasy),nl,9789024508457,"52.1013639, 5.111970599999999",veenhof 25 utrecht,"Fantasy - Vuurzee is het verhaal van Abarrach, het Rijk van het Steen. Hier in de barre wereld van onderaardse grotten vechten de laatste overlevenden van het eens zo machtige Sartan wanhopig voor hun bestaan. Verkenner Haplo trekt door Abarrach en tijdens zijn onthullende reis ontdekt hij meer dan ooit over de geschiedenis én de toekomst van Sartan en haar bewoners..."
208,Dubbelleven,nl,9789024570805,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
209,Haal de vroedvrouw! (Dutch Edition),nl,9789047204503,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
210,Verhalen en levensberichten (Grote ABC) (Dutch Edition),nl,9789029508414,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
211,Joe Speedboot / druk 1,nl,9789023414339,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
212,De kwetsuur: tien verhalen,nl,9789041331519,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
213,De Da Vinci Code,nl,9789021019772,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
214,Het Bernini Mysterie: 2 Robert Langdon (Robert Langdon (2)) (Dutch Edition),nl,9789021019789,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
215,The Grass Widow's Tale,en,9780708849958,"52.1013639, 5.111970599999999",veenhof 25 utrecht,"When George Felse finds himself called away to London on urgent police business, his wife Bunty is left alone feeling depressed on the eve of her 41st birthday. To shake off her black mood she goes out to the local pub where a chance meeting places her in deadly danger."
216,Gesloten gelederen (Zwarte Beertjes),nl,9789046110836,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
217,De verborgen geschiedenis,nl,9789023467212,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
218,Broodjes uit eigen oven: zoet & hartig (Dutch Edition),nl,9789462502116,"52.1013639, 5.111970599999999",veenhof 25 utrecht,No description is available
219,Kunstartiest ; Snikheet (Knofje) (Dutch Edition),nl,9789021418582,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
220,Tiril en de toverdrank: Kinderboekenweekgeschenk 2021,nl,9789059657700,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
221,"De mislukte moordenaar, ofwel De kinderredder",nl,9789021613451,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
222,Weg met de meester,nl,9789025105327,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
223,The BFG,en,9780141311371,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,The well-loved story of a big friendly giant who spirits a child out of bed to the land of the child-eating giants. This edition has a great new cover by Quentin Blake as well as new author biography.
224,Daar gaat mijn tak ! (Salto),nl,9789027629371,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
225,De jonge prinsen (Dutch Edition),nl,9789021472133,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
226,Aanvallen! (Blauw-Wit),nl,9789000311941,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
227,Een cap en laarzen (De Roskam) (Dutch Edition),nl,9789026917059,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
228,Tiril en de toverdrank: Kinderboekenweekgeschenk 2021,nl,9789059657700,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
229,Rintje rent het hardst,nl,9789045115825,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
230,Floortje met de klas op stap,nl,9789020672367,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
231,Floortje in Engeland,nl,9789020672404,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
232,Floortje in de zwemvierdaagse (Kluitman sterserie),nl,9789020671520,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,Avontuur - Voor meisjes vanaf 8 jaar.
233,Soep met een luchtje,nl,9789026993770,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
234,Een ijskoud vriendje (De avonturen van Tobias),nl,9789490374556,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
235,Meester Jaap gaat nooit verloren,nl,9789026990922,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"Mirjam brengt het nieuwe meisje in groep zeven op de hoogte. 'Onze meester doet af en toe een beetje raar, maar dat went vanzelf.' En zo is het maar net. Meester Jaap trekt wel heel ruige kleren aan als de kinderen zijn geruite overhemden te saai vinden. Bij een vechtpartij van de jongens treedt hij als Tarzan op. Ook vertelt meester Jaap de mooiste geschiedenisverhalen en geeft hij sexuele voorlichting met de zak van Sinterklaas als voorbeeld. Alleen voetballen, dat is niet zijn sterkste punt..."
236,CLUB VAN BRAMMETJE BOND. IN AVONTURENLAN,nl,9789020675788,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
237,Trouwe vrienden van de Kameleon,nl,9789020633214,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
238,Jip en Janneke spelen buiten / druk 1,nl,9789045114866,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"Jip en Janneke zijn dol op buiten spelen. Jip stept het hardst en Janneke kan touwtjespringen als de beste. Maar het liefst spelen ze samen. Op de wip, schatgraven in de zandbak en glijden van een stenen muurtje. Jip en Janneke vervelen zich nooit."
239,Gekke Juf is fijn naar school,nl,9789025847104,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
240,CINDY OP BALLETKAMP,nl,9789020671452,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
241,De vlieger,nl,9789029521444,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
242,Omdat wij vrienden zijn: verhalen over vriendschap,nl,9789044617252,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
243,Mrs. Degas: roman,nl,9789029542326,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
244,Koud spoor,nl,9789022994207,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
245,Filosofie voor een weergaloos leven (Dutch Edition),nl,9789403118307,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
246,"Snel geld (Stockholm trilogie, 1)",nl,9789400508118,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
247,Onze voorouders (GOEDKOPE GRIJZE EDITIES),nl,9789035107847,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
248,Elliott Erwitt's Dogs,en,9783832769246,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"In a heartfelt and original tribute to mans best friend, the photographic master Elliott Erwitt captures all the diversity of the canine kingdom. We witness Fidos many moods from playful, perky scamp to quiet and constant companion. Ranging from daring little imps to lumbering and gentle beasts, Erwitts images unveil the quirkiness that makes these creatures so beloved while combining an unerring sense of composition with the magic of the moment."
249,The Reading Group: A Novel,en,9780060760441,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"<p>The Reading Group follows the trials and tribulations of a group of women who meet regularly to read and discuss books.Over the course of a year, each of these women become intertwined, both in the books they read and within each other's lives.Inspired by a shared desire for conversation, a good book and a glass of wine-Clare, Harriet, Nicole, Polly, and Susan undergo startling revelations and transformations despite their differences in background, age and respective dilemmas.What starts as a reading group gradually evolves into a forum where the women may express their views through the books they read and grow to become increasingly more open as the bonds of friendship cement.In The Reading Group, Noble reveals the many complicated paths in life we all face as well as the power and importance of friendship.>This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more."
250,The Gun Seller,en,9780099469391,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"Hugh Laurie concocts an uproarious cocktail of comic zingers and over-the-top action in this ""ripping spoof of the spy genre"" <i>(Vanity Fair)</i> -- the irresistible tale of a former Scots Guard-turned-hired gun, a freelance soldier of fortune who also happens to be one heck of a nice guy. <br/> Cold-blooded murder just isn't Thomas Lang's cup of tea. Offered a bundle to assassinate an American industrialist, he opts to warn the intended victim instead -- a good deed that soon takes a bad turn. Quicker than he can down a shot of his favorite whiskey, Lang is bashing heads with a Buddha statue, matching wits with evil billionaires, and putting his life (among other things) in the hands of a bevy of femmes fatales. Up against rogue CIA agents, wannabe terrorists, and an arms dealer looking to make a high-tech killing, Lang's out to save the leggy lady he has come to love...and prevent an international bloodbath to boot."
251,Tem je geest: Gids voor geestelijk welzijn,nl,9789000339686,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
252,De gelukkige klas (Dutch Edition),nl,9789491618208,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
253,The Tale of the Body Thief (Vampire Chronicles),en,9780345419637,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"In a gripping feat of storytelling, Anne Rice continues the extraordinary Vampire Chronicles that began with the now-classic <i>Interview with the Vampire</i>. For centuries, Lestatvampire-hero, enchanter, seducer of mortalshas been a courted prince in the dark and flourishing universe of the living dead. Now he is alone. And in his overwhelming need to destroy his doubts and his loneliness, Lestat embarks on the most dangerous enterprise he has undertaken in all the years of his haunted existence.<br/> <b> <br/><b>Look for a special preview of Anne Rices <i>Prince Lestat</i> in the back of the book. The Vampire Chronicles continue in <i>Prince Lestat and the Realms of Atlantis, </i>available for pre-order now.</b><br/></b><br/> <b>Praise for <i>The Tale of the Body Thief</i></b><br/> <i> </i><br/> Tinged with mystery, full of drama . . . The story is involving, the twists surprising.<b><i>People</i></b><br/>  <br/> Rice is our modern messenger of the occult, whose nicely updated dark-side passion plays twist and turn in true Gothic form.<b><i>San Francisco Chronicle</i></b><br/> <i> </i><br/> Fast-paced . . . . mesmerizing . . . silkenly sensuous . . . No one writing today matches her deftness with the erotic.<b><i>The Atlanta Journal-Constitution</i></b><br/> <i> </i><br/> Hypnotic . . . masterful."
254,Het Juvenalis dilemma (Dutch Edition),nl,9789021020471,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
255,De ondergang: Hitler en het einde van het Derde Rijk (Dutch Edition),nl,9789023457107,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
256,Kindsoldaat,nl,9789023457756,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
257,Fataal Weekend: Wegener Thriller Collectie 2006 Boek 2,nl,9789078432029,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
258,"Verloren (Dwarsligger, 676)",nl,9789049807962,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
259,Verlies,nl,9789041422637,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
260,Het leven is vurrukkulluk,nl,9789403117409,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
261,Ons soort mensen,nl,9789044617955,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
262,Ouwehoeren: verhalen uit de peeskamer,nl,9789461535528,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
263,Het dossier,nl,9789022996867,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
264,Het dossier,nl,9789022996867,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
265,Ik ging van hand tot hand: verzameld werk,nl,9789044511659,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
266,Als de doden niet herrijzen,nl,9789022585511,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
267,Wild: Dertig jaar geleden werd er een kind gevonden in het bos. Nu moet hij de verdwijning van een ander kind oplossen.,nl,9789022590034,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
268,"Jelle's weekdieren: bizarre, bedreigde, eetbare, zielige en andere beesten (Dutch Edition)",nl,9789088030642,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,No description is available
269,Winter Journal,en,9780805095531,"52.10856328652742, 5.09080027141255",Arnoldus Rotterdamstraat Utrecht,"<p><b>From the bestselling novelist and author of <i>The Invention of Solitude</i>, a moving and highly personal meditation on the body, time, and language itself</b>""<i>That is where the story begins, in your body, and everything will end in the body as well.</i> Facing his sixty-third winter, internationally acclaimed novelist Paul Auster sits down to write a history of his body and its sensationsboth pleasurable and painful. Thirty years after the publication of <i>The Invention of Solitude</i>, in which he wrote so movingly about fatherhood, Auster gives us a second unconventional memoir in which he writes about his mother's life and death. <i>Winter Journal</i> is a highly personal meditation on the body, time, and memory, by one of our most intellectually elegant writers."
270,Hervonden liefde: Licia zet door. Mijn naam is Myr,nl,9789020527919,"52.1101132, 5.09493939999993",Koppestokstraat 42 Utrecht,No description is available
271,Negenenzestigste Jubileumomnibus: bevat: Liefdesbloesem . Is dit mijn kind? . Het grote waagstuk . De blozende dokter . Zonder afscheid,nl,9789020527049,"52.1101132, 5.09493939999993",Koppestokstraat 42 Utrecht,No description is available
272,SPOOR VAN LICHT TRILOGIE,nl,9789021090924,"52.1101132, 5.09493939999993",Koppestokstraat 42 Utrecht,No description is available
273,ZWIJGEN HOEFT NIET MEER (TRILOGIE),nl,9789025724306,"52.1101132, 5.09493939999993",Koppestokstraat 42 Utrecht,No description is available
274,Ellessy relax Blauwe sneeuwpoppen: liefdesroman,nl,9789086602049,"52.1101132, 5.09493939999993",Koppestokstraat 42 Utrecht,No description is available
275,De schaduw van de wind (Het Kerkhof der Vergeten Boeken) (Dutch Edition),nl,9789056725914,"52.1101132, 5.09493939999993",Koppestokstraat 42 Utrecht,No description is available
276,De vrouw van de keukengod (Colibri-bibliotheek),nl,9789045340197,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
277,Lotte . Simone,nl,9789492020093,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
278,Die laatste zomer (Dutch Edition),nl,9789026332180,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
279,DROOMFABRIEK,nl,9789051124286,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
280,Eetlezen,nan,9789023423560,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"Eetlezen, Book is in Dutch."
281,Kwetsbaar (Dutch Edition),nl,9789047202196,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
282,Kwetsbaar (Dutch Edition),nl,9789047202196,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
283,De gelukkige klas (Dutch Edition),nl,9789491618208,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
284,Het elandenlokroepfluitje,nl,9789038884394,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
285,The Hours,en,9780312305062,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"<br/>The Pulitzer Prize-winning novel becomes a motion picture starring Meryl Streep, Julianne Moore, and Nicole Kidman, directed by Stephen Daldry from a screenplay by David Hare<i>The Hours</i> tells the story of three women: Virginia Woolf, beginning to write Mrs. Dalloway as she recuperates in a London suburb with her husband in 1923; Clarissa Vaughan, beloved friend of an acclaimed poet dying from AIDS, who in modern-day New York is planning a party in his honor; and Laura Brown, in a 1949 Los Angeles suburb, who slowly begins to feel the constraints of a perfect family and home. By the end of the novel, these three stories intertwine in remarkable ways, and finally come together in an act of subtle and haunting grace. <br/><i>The Hours</i> is the winner of the 1999 Pulitzer Prize for Fiction."
286,Heerlijk vegetarisch: lekker & gezond : 80 recepten voor elk moment van de dag,nl,9789461888754,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
287,Mooi boek,nl,9789045117621,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
288,Visual Function: An Introduction to Information Design,en,9781568981185,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"<i>Visual Function: An Introduction to Information Design</i> presents and discusses a variety of graphics used in transmitting information, analyzing signs, graphs, and charts through a method similar to that found in Edward Tufte's books (<i>Envisioning Information</i> and <i>The Visual Display of Quantitative Information</i>), which have had an enormous influence on today's graphic designers. With copious color and black-and-white illustrations, this book examines airplane safety cards, street maps, road signs, instruction booklets, corporate logos, subway guides, magazine advertisements, cookbooks, computer diagrams, and car manuals, all as a means of explaining how information can be conveyed without words."
289,Collins Gem Sas Survival Guide,en,9780004723020,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"Have you thought about how you would deal with surviving on nothing but the plants you could forage? Do you wonder how you would manage if you were lost and had to set up an improvised camp? Can you tie knots or make basic weather forecasts? All the above and more are covered in this survival guide. Using clear line drawings and colour illustrations, survival techniques from the sea to the mountains and from the polar icecap to the desert are described, complete with what to do in a whole range of medical and meteorological emergencies."
290,Eerst doden ze mijn vader,nl,9789069749990,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
291,De donkere kamer van Damokles (Dutch Edition),nl,9789028204652,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
292,Mijn woningen. Autobiografisch vierluik,nl,9789029055208,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,N° 84 / 9029055200 / Numbered first prints Dutch Literature / Nederlands / Dutch / Néerlandais / Niederländisch / hard cover / dust jacket / 15 x 22 cm / 765 .
293,De heilige Antonio,nl,9789038894751,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
294,"Transient Desires: A Commissario Guido Brunetti Mystery (The Commissario Guido Brunetti Mysteries, 30)",en,9780802158178,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
295,BROOKLYN BLUES,nl,9789051121858,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
296,Vanavond komt Caro!: Roman (Dutch Edition),nl,9789032503680,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
297,Westkaai (Tekstboekjes Publiekstheater),nl,9789064031113,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
298,"Dromen in beeld (Bruidenkwartet, 1)",nl,9789022581810,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
299,The MacGregors: Serena ~ Caine: Playing The OddsTempting Fate,en,9780373285136,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"The MacGregors: Serena and Caine by Nora Roberts released on Dec 27, 2005 is available now for purchase."
300,Een mooie jonge vrouw,nl,9789059652347,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,No description is available
301,Memoirs Of A Geisha,en,9780099282853,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering."
302,"Vanish (Jane Rizzoli, Book 5)",en,9780345476982,"52.1150282, 5.090746399999944",Prinses Irenelaan 29 3554 HA Utrecht,"<b>A blessed event becomes a nightmare for pregnant homicide detective Jane Rizzoli when she finds herself on the wrong side of a hostage crisis in this timely and relentless thriller from the <i>New York Times</i> bestselling author of <i>Body Double</i>.</b> A nameless, beautiful woman appears to be just another corpse in the morgue. An apparent suicide, she lies on a gurney, awaiting the dissecting scalpel of medical examiner Maura Isles. But when Maura unzips the body bag and looks down at the body, she gets the fright of her life. The corpse opens its eyes.  Very much alive, the woman is rushed to the hospital, where with shockingly cool precision, she murders a security guard and seizes hostages . . . one of them a pregnant patient, Jane Rizzoli.  Who is this violent, desperate soul, and what does she want? As the tense hours tick by, Maura joins forces with Janes husband, FBI agent Gabriel Dean, to track down the mysterious killers identity. When federal agents suddenly appear on the scene, Maura and Gabriel realize that they are dealing with a case that goes far deeper than just an ordinary hostage crisis. Only Jane, trapped with the armed madwoman, holds the key to the mystery. And only she can solve itif she survives the night.<br/><i>From the Hardcover edition."
